中交二公局第四工程有限公司,C0
中交第一公路勘察设计研究院有限公司,C1
中交隧道局第四工程有限公司,C2
中国中铁二院工程集团有限责任公司,C3
中国国家铁路集团有限公司,C4
中国电建集团华东勘测设计研究院有限公司,C5
中国铁路总公司,C6
中国铁路经济规划研究院有限公司,C7
中国铁路设计集团有限公司,C8
中国铁道科学研究院集团有限公司,C9
中国铁道科学研究院集团有限公司基础设施检测研究所,C10
中国铁道科学研究院集团有限公司铁道建筑研究所,C11
中建八局装饰工程有限公司,C12
中建西部建设股份有限公司,C13
中建西部建设西南有限公司,C14
中煤特殊凿井有限责任公司,C15
中煤第三建设(集团)有限责任公司,C16
中车株洲电力机车有限公司,C17
中铁九桥工程有限公司,C18
中铁二十五局集团第六工程有限公司,C19
中铁二十五局集团第四工程有限公司,C20
中铁二局集团有限公司,C21
中铁二院工程集团有限责任公司,C22
中铁二院贵阳勘察设计研究院有限责任公司,C23
中铁五局集团第一工程有限责任公司,C24
中铁十一局集团有限公司,C25
中铁十一局集团第二工程有限公司,C26
中铁十一局集团第五工程有限公司,C27
中铁十二局集团有限公司,C28
中铁十二局集团第二工程有限公司,C29
中铁十八局集团有限公司,C30
中铁十六局集团北京建功机械有限公司,C31
中铁十六局集团有限公司,C32
中铁十局集团城市轨道交通工程有限公司,C33
中铁十局集团有限公司,C34
中铁大桥勘测设计院集团有限公司,C35
中铁大桥局集团有限公司,C36
中铁大桥科学研究院有限公司,C37
中铁桥研科技有限公司,C38
中铁科学研究院有限公司,C39
中铁第一勘察设计院集团有限公司,C40
中铁隧道局集团有限公司,C41
中铁隧道集团二处有限公司,C42
中铁高新工业股份有限公司,C43
云南中建西部建设有限公司,C44
云南凯威特新材料股份有限公司,C45
北京赛福思创减震科技股份公司,C46
北京铁科英迈技术有限公司,C47
北京铁锋建筑工程技术有限公司,C48
华能西藏雅鲁藏布江水电开发投资有限公司,C49
华能集团技术创新中心有限公司,C50
叙镇铁路有限责任公司,C51
川藏铁路技术创新中心有限公司,C52
川藏铁路有限公司,C53
广西岩土钻凿工程科技有限公司,C54
成都交竢工程科技有限公司,C55
成都奥伦达科技有限公司,C56
成都现代万通锚固技术有限公司,C57
成都金发科技新材料有限公司,C58
柳州铁路工程质量检测中心有限公司,C59
江苏中云筑智慧运维研究院有限公司,C60
江西运腾工程材料有限公司,C61
浙江华东工程咨询有限公司,C62
浩吉铁路股份有限公司,C63
甘肃长达路业有限责任公司,C64
福泉凯威特新材料有限公司,C65
西安华捷奥海新材料有限公司,C66
通号工程局集团有限公司,C67
通号工程局集团有限公司天津分公司,C68
金发科技股份有限公司,C69
铁三院(天津)检测科技有限公司,C70
铁科创恒新材料科技有限公司,C71
长沙市建筑节能与绿色建筑产业技术创新战略联盟,C72
陕西祐通材料有限公司,C73
上海交通大学,I0
东南大学,I1
中南大学,I2
中国地质科学院探矿工艺研究所,I3
中国矿业大学(北京),I4
中国科学院、水利部成都山地灾害与环境研究所,I5
中国科学院武汉岩土力学研究所,I6
中央财经大学,I7
中山大学,I8
交通运输部公路科学研究所,I9
北京交通大学,I10
北京科技大学,I11
华东交通大学,I12
四川师范大学,I13
山东大学,I14
桂林航天工业学院,I15
清华大学,I16
盾构及掘进技术国家重点实验室,I17
石家庄铁道大学,I18
西南交通大学,I19
重庆交通大学,I20
重庆大学,I21
防灾科技学院,I22
高速铁路建造技术国家工程实验室,I23
黑龙江省公路建设中心,I24
崔凯,S0
张国强,S1
朱纯,S2
章和高,S3
郑超,S4
陈海峰,S5
鲁飞,S6
